iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
GIN,Guinea,MtCO2e,30.52,30.86,31.22,31.61,32.06,32.5,32.02,32.51,34.06,33.69,34.19,35.6,36.84,37.15,37.23,38.78,39.18,39.61,40.26,40.82,43.46,45,46.15,45.88,46.44,47.36,52.46,53.42,54.09
GTM,Guatemala,MtCO2e,47.96,48.43,50.43,51.36,51.89,53.85,53.93,54.56,59.97,58.53,62.04,56.66,58.61,60.72,59.49,62.61,61.72,64.32,61.75,64.07,63.41,52.25,53.34,55.48,57.43,62.96,56.54,55.01,58.15
CUB,Cuba,MtCO2e,68.73,51.35,39.51,34.44,37.43,40.02,44.72,49.2,48.39,49.69,50.38,49.64,47.38,45.69,44.85,45.91,47.33,49.15,47.55,48.65,50.93,45.44,47.6,48.14,43.82,48.36,63.66,61.44,62.31
DOM,Dominican Republic,MtCO2e,9.1,10.58,13.45,13.84,17.44,18.65,20.45,23.91,27.95,29.73,31.32,43.07,47.4,42.91,40.75,43.49,47.08,48.54,48.65,47.21,49.6,51.73,53.3,52.68,53.2,57.77,59.24,57.46,61.5
SWE,Sweden,MtCO2e,132.84,134.33,139.42,139.14,142.95,142.33,153.36,140.91,142.77,140.52,132.82,103.76,106.69,109.01,106.24,99.31,96.54,92.99,90.92,84.05,95.31,65.6,60.43,57.05,54.56,54.67,64.94,64.27,60.36
JOR,Jordan,MtCO2e,28.54,28.85,33.73,34.74,36.61,36.85,36.35,36.37,35.82,34.9,37.1,37.19,38.6,39.62,42.35,45.19,46.29,48.55,46.82,48.3,47.56,49.02,56.17,56.09,60.01,60.17,59.74,62.79,60.68
NOR,Norway,MtCO2e,53.2,48.6,51.66,56.32,60.21,60.04,60.36,64.03,66.65,70.52,59.58,44.73,43.91,48.79,49.29,47.33,48.52,49.41,47.21,47.4,52.72,58.36,57.72,59.32,59.44,60.76,59.49,58.77,57.57
MDG,Madagascar,MtCO2e,82.19,82.28,82.55,82.97,82.94,83.65,84.18,83.68,85.09,84.84,83.52,68.74,65.82,68.73,67.72,71.97,70.5,71.99,70.77,71.73,72.59,48.94,50.13,49.26,49.14,50.3,51.25,50.55,51.25
LBN,Lebanon,MtCO2e,12.92,15.84,15.89,22.6,24.49,28.81,30.68,34.9,35.38,37.14,34.61,37.14,37.07,38.34,39.36,38.18,36.2,33.94,41.34,48.06,46.12,46.95,51.89,51.64,55.74,59.75,61.59,64.79,61.53
SEN,Senegal,MtCO2e,24.99,25.29,25.97,26.15,26.58,27.01,28.74,29.52,31.1,33.65,33.73,34.74,34.32,33.53,36.58,37.59,37.91,38.7,39.87,40.57,41.96,39.67,39.14,40.87,42.06,43.51,46.38,46.21,46.93
NER,Niger,MtCO2e,24.87,25.31,25.76,26.49,26.96,27.53,28.39,29.06,30.05,30.62,31.15,22.97,23.79,24.75,25.64,26.5,27.43,28.71,29.97,31.53,31.92,32.98,35.51,37.37,39.26,40.42,42.11,43.35,45.26
MLI,Mali,MtCO2e,17.92,17.87,17.97,18.25,18.59,19.01,19.44,20.34,24.77,25.89,24.48,21.66,22.18,23,25.52,26.35,26.6,27.87,29.65,29.32,31.25,32.18,33.34,34.83,36.34,37.76,41.23,42.12,43.6
COG,Republic of Congo,MtCO2e,30.73,30.71,30.95,29.99,28.31,29.74,30.41,31.23,33.3,34.01,34.54,33.66,29.89,31.94,32.9,35.8,37.86,34.77,35.53,37.23,39.91,39.95,39.22,38.88,38.11,39.41,40.97,41.21,44.93
BEN,Benin,MtCO2e,34.93,34.98,35.07,35.12,35.38,35.2,37.44,38.06,39.07,38.99,39.21,29.77,31.26,31.43,31.71,33.18,33.93,35.16,34.89,35.93,36.73,36.67,36.4,37.28,38.3,39.06,41.99,42.31,44.33
BIH,Bosnia and Herzegovina,MtCO2e,60.88,55.64,42.85,36.83,16.2,16.31,18.16,27.37,32.46,32.18,39.4,32.96,33.91,34.75,36.52,37.93,41.49,43.58,47.57,47.46,47.74,45.65,42.08,41.74,36.9,37.24,46.51,47.12,47.05
TTO,Trinidad and Tobago,MtCO2e,33.95,33.74,33.75,27.06,21.79,21.23,22.85,23.78,24.41,24.88,26.16,29.42,32.25,39.02,40.74,44.42,50.56,51.65,50.83,49.02,54.13,55.8,54.55,56.2,56.01,54.37,47.69,47.83,47.22
HND,Honduras,MtCO2e,25.28,25.39,25.98,25.95,26.99,28.37,27.91,28.45,29.64,28.56,29.3,29.96,30.71,34.35,34.48,34.82,36.11,37.43,37.71,37.2,36.98,41.97,42.47,42.48,43.21,44.46,43.9,41.51,41.39
LTU,Lithuania,MtCO2e,89.8,93.62,64.39,54.24,51.27,48.63,49.87,49.32,50.98,45.72,42.29,42.35,42.75,42.91,44.5,46.51,46.84,48.06,47.35,42.35,44.06,30.58,30.59,29.11,28.08,28.54,39.58,39.5,40.01
AFG,Afghanistan,MtCO2e,8.9,9.06,8.3,8.43,8.45,8.86,9.86,10.78,11.6,12.33,10.51,13.94,16.9,17.86,17.11,18.84,19.79,21.31,25.97,31.12,37.41,43.92,40.64,39.34,39.95,41.18,40.47,42.08,43.86
URY,Uruguay,MtCO2e,6.11,8.25,10.25,10.51,10.16,10.79,12.89,12.7,12.52,14.58,11.39,17,16.9,17.73,20.62,20.74,23.79,22.27,26.75,26.22,22.44,31.47,33.24,31.09,29.73,29.77,40.18,39,39.35
NAM,Namibia,MtCO2e,7.33,31.5,31.56,31.72,32.14,32.38,32.4,32.3,33.05,33.04,33.82,34.33,32.61,33.4,33.99,34.73,36,35.39,34.37,37.36,36.87,42.05,43.8,37.23,36.65,36.92,37.59,37.72,37.02
PAN,Panama,MtCO2e,22.13,23.05,24.24,24.65,25.18,25.7,25.74,25.92,28.08,26.51,26.87,25.99,24.46,24.89,24.95,28.11,29.01,29.01,28.93,31.92,33.04,34.94,36.11,35.88,36.82,36.57,36.82,35.88,35.68
YEM,Yemen,MtCO2e,23.52,27.11,28.34,28.9,33.97,36.31,37.22,39.75,41.79,46.02,49.73,52.03,52.13,58.35,59.82,63.62,65.88,68.2,69.04,74.23,73.54,67.08,61.56,76.77,75.07,41.45,32.66,32.74,36.37
GUY,Guyana,MtCO2e,14.38,14.53,14.45,15.9,16.53,17.68,18.2,18.68,18.86,18.96,18.57,20.02,19.9,20.17,20.87,20.32,19.97,20.55,20.69,20.74,21.13,36.58,36.99,37.12,37.41,37.57,32.76,32.85,33.12
GAB,Gabon,MtCO2e,23.63,25.24,25.25,25.55,26.7,28.56,30.13,29.81,31.65,30.21,29.56,28.61,27.68,29.63,28.91,28.43,26.4,25.19,26.18,25.91,27.31,33.83,33.23,33.52,34,34.57,35.23,32.54,31.72
LBR,Liberia,MtCO2e,28.19,27.99,28.05,28.06,28.05,28.06,27.99,28.05,28.17,28,28.08,28.11,28.1,28.28,28.39,28.58,28.87,28.64,28.53,29.51,28.99,29.31,29.48,29.43,30.46,31.36,30.54,30.29,29.99
MWI,Malawi,MtCO2e,20.21,20.46,20.46,20.7,20.33,20.54,20.61,20.52,20.75,20.82,20.75,20.8,21.2,21.72,21.55,21.84,21.77,22.41,23.11,22.94,24.02,24.12,24.6,24.79,25.26,25.68,26.3,26.73,28.43
SVN,Slovenia,MtCO2e,12.05,10.25,10.06,11.52,11.63,13.32,14.94,15.84,15.36,14.15,13.58,11.07,11.29,11.14,11.63,12.09,12.8,12.76,14.82,11,11.56,29.21,28.02,26.82,23.88,24,31.53,31.93,31.75
HRV,Croatia,MtCO2e,47.2,35.27,36.55,37.9,37.31,39.21,38.18,41.6,43.47,42.97,41.54,43.55,45.68,48.12,47.33,47.62,48.5,51.29,49.33,45.35,43.94,41.91,38.29,36.81,35.23,36.21,30.86,32.04,29.96
GEO,Georgia,MtCO2e,46.54,29.12,16.19,6.69,-6.12,-11.45,-14.78,-16.45,-17.46,-18.17,-17.52,8.27,7.16,7.88,8.18,9.6,10.42,12.1,10.43,11.96,11.4,20.8,22.34,24.18,25.46,26.55,27.36,27.39,26.86
TJK,Tajikistan,MtCO2e,28.91,27.17,21.7,16.32,11.68,10.54,9.62,10.13,10.31,9.6,8.89,8.09,8.1,8.3,9.27,9.21,9.92,11.21,11.36,10.4,10.54,10.82,12.07,12.67,15.6,16.52,18.47,21.12,23.86
EST,Estonia,MtCO2e,74.17,68.67,50.6,40.88,41.17,36.9,38.8,39.56,37.01,35.84,34.98,35.65,34.86,38.66,39.02,39.09,37.71,45.18,40.66,33.76,42.89,33.18,30.22,33.97,31.46,25.03,44.1,45.86,43.8
SUR,Suriname,MtCO2e,10.74,11.38,11.49,11.59,11.63,11.78,11.96,11.98,12.05,12.16,10.8,11.57,10.61,10.95,11.61,12.11,11.89,11.67,11.9,12.01,12.67,21.69,22.65,22.37,23.09,23.29,26.03,25.01,24.36
BRN,Brunei,MtCO2e,10.65,10.99,11.49,12.27,12.9,13.64,13.93,15.07,20.66,13.17,13.89,13.84,13.69,15.86,14.78,14.54,19.76,18.86,20.47,20.25,18.83,17.41,17.33,17.01,16.92,15.44,16.67,17.33,17.88
MDA,Moldova,MtCO2e,68.22,56.24,46.99,40.65,34.28,30.24,26.72,24.22,21.82,19.16,17.67,16.81,17.1,18.28,18.27,18.98,18.44,18.83,18.71,17.51,19.08,20.4,19.94,18.12,19.28,19.81,21.26,21.16,22.2
GNQ,Equatorial Guinea,MtCO2e,7.91,8.06,10.64,10.9,11.14,11.39,11.86,13.9,15.51,18.41,16.35,19.52,18.45,19.84,26.38,26.93,26.78,28.19,26.81,26.42,26.55,25.96,25.41,25.39,27.37,25.83,25.86,24.37,23.64
SLV,El Salvador,MtCO2e,11.41,12.88,13.54,14.59,15.74,16.51,15.88,17.67,18.13,18.28,17.92,18.79,19.1,20.25,20.77,21.32,22.2,23.16,21.89,21.28,20.89,21.04,21.19,20.13,20.53,21.41,21.46,19.82,20.66
KGZ,Kyrgyzstan,MtCO2e,53.14,48.51,34.27,25.78,17.1,12.46,14.53,14.33,14.9,12.28,12.06,12.82,14.79,16.04,16.17,15.61,15.79,18.11,20.16,19.11,18.47,19.74,24.82,23.61,24.64,25.4,19.31,18.89,22.89
LVA,Latvia,MtCO2e,23.26,19.95,13.91,8.52,4.01,1.38,1.4,0.41,-0.33,-1.3,-2.21,-3.65,-3.59,-3.02,-2.91,-2.6,-1.52,-0.69,-1.35,-2.85,-0.47,20.61,20.11,19.92,19.6,19.68,19.08,18.98,20.21
ARM,Armenia,MtCO2e,44.5,45.94,25.7,13.76,8.97,10.27,8.22,9.76,9.9,8.97,9.81,9.95,9.14,9.94,10.6,12.02,12.46,13.82,14.82,12.5,12.15,12.98,14.76,14.49,14.46,14.34,14.55,14.69,15.23
MKD,Macedonia,MtCO2e,22.49,21.62,20.77,21.09,20.34,19.91,23.03,20.8,22.41,20.71,20.02,20.18,19.04,20.51,20.02,20.66,20.62,21.6,21.18,19.88,19.58,21.29,20.51,18.65,17.86,17.29,16.99,17.96,16.96
LUX,Luxembourg,MtCO2e,22.2,23.16,22.54,22.96,21.28,16.98,17.14,16.15,14.8,15.54,16.89,18.1,19.58,20.42,23.29,23.79,23.39,22.2,22.03,20.86,22.04,22.33,21.9,20.85,19.8,18.78,18.13,18.47,19.08
MRT,Mauritania,MtCO2e,8.22,8.46,8.33,8.54,8.48,8.61,9.21,9.5,9.73,10.43,10.87,11.03,11.21,11.42,11.55,11.74,12.12,12.64,12.12,13.11,13.77,13.98,14.56,14.24,15.27,16.38,12.68,14.46,15.14
HTI,Haiti,MtCO2e,6.49,6.68,6.99,6.42,5.4,6.89,7.35,7.96,8.15,8.36,8.94,9.24,9.76,9.79,9.52,9.67,9.74,10.49,10.5,10.52,11.54,13.25,12.73,13.26,14.05,14.67,14.97,14.91,14.75
CYP,Cyprus,MtCO2e,9.89,10.94,11.73,12.26,12.76,12.52,13.27,13.45,14.08,14.62,15.14,14.54,14.94,16.28,16.17,16.4,16.64,17.27,17.67,17.29,16.58,15.96,14.91,13.53,14.31,14.43,15.32,15.6,15.26
SLE,Sierra Leone,MtCO2e,10.18,10.2,10.18,10.27,10.28,9.95,9.78,9.66,9.77,9.45,9.64,9.94,10.35,10.96,11.29,11.31,12.45,11.68,11.44,11.76,11.8,12.5,13.41,13.68,14.22,14.19,14.3,14.18,14.57
JAM,Jamaica,MtCO2e,17.17,17.1,18.65,19.03,19.13,19.77,20.49,20.79,21.89,22.48,22.69,16.97,17.31,18.09,17.97,17.92,20.64,20.53,15.72,12.24,11.44,16.88,15.8,16.7,16.3,16.09,16.94,16.32,19.08
BGR,Bulgaria,MtCO2e,128.24,96.47,87.19,86.31,80.16,82.54,83.53,78.14,72.03,59.06,57.62,59.16,53.89,63.09,61.17,61.88,62.8,70.63,65.67,51.04,54.53,88.2,77.84,67.33,72.3,77.5,28.29,32.73,26.5
BLZ,Belize,MtCO2e,19.95,20.26,20.29,20.44,20.56,19.46,18.23,17.32,16.31,15.14,14.21,7.71,7.77,8.06,7.57,7.75,7.79,8.04,7.95,8.17,8.24,13.16,12.52,12.72,12.62,13.05,12.52,12.58,12.48
TGO,Togo,MtCO2e,9.9,9.68,9.19,8.96,9.5,9.54,10.51,9.67,11.07,11.99,11.05,7.2,7.81,8.91,8.58,9.45,8.69,8.31,8.7,11.45,11.09,11.45,10.71,10.12,9.7,10.69,11.31,10.86,11.39
ALB,Albania,MtCO2e,17.62,13.32,9.39,9.2,10.02,9.73,9.47,8.25,8.81,11.2,11.79,9.11,10.28,11.06,11.32,10.87,10.76,11.01,10.7,10.92,11.78,13.06,11.91,12.39,13.22,12.5,13.28,14.84,14.5
BDI,Burundi,MtCO2e,11.66,11.77,11.73,11.73,11.62,11.91,11.97,12.06,12.14,12.28,12.35,8.1,8.1,8.03,8.06,8.13,8.32,8.39,8.53,8.68,9.15,-0.49,-0.41,-0.02,-0.03,-0.02,10.3,10.99,11.34
RWA,Rwanda,MtCO2e,8.24,8.16,8.09,8.02,7.82,8.03,8.23,8.62,8.61,8.85,8.85,8.58,8.92,8.9,8.98,9.1,9.38,9.46,9.67,9.81,10.12,8.26,8.49,8.77,8.78,9.62,9.42,9.7,10.04
MUS,Mauritius,MtCO2e,3.42,3.61,3.77,4.07,4.19,4.29,4.52,4.64,5.09,6.02,6.7,7.15,7.22,7.54,7.59,7.97,8.74,8.97,9.15,9.1,9.62,9.48,9.73,9.95,10.29,10.35,10.51,10.85,10.82
GHA,Ghana,MtCO2e,33.93,33.72,34.54,34.72,35.22,35.86,37.07,38.42,43.87,42.93,42.38,113.29,115.77,115.99,114.38,117.08,119.77,120.63,119.94,122.46,125.18,94.7,98.58,101.68,100.68,103.35,-4.59,-2.24,1.05
ERI,Eritrea,MtCO2e,4.55,4.56,5.71,5.48,5.77,5.96,6.58,7.03,6.77,6.98,7.08,6.88,6.82,6.97,7.03,6.9,6.64,6.93,6.8,6.87,6.84,7.08,7.18,7.17,7.21,7.2,7.41,7.48,7.71
TLS,Timor-Leste,MtCO2e,1.38,1.45,1.45,1.48,1.56,1.58,1.6,1.61,1.63,1.52,1.58,2.65,3.88,4.72,5.52,6.49,6.85,7.15,7.55,7.9,8.21,8.11,8.15,8.09,8.16,8.08,7.98,7.86,7.53
CRI,Costa Rica,MtCO2e,16.2,16.68,18.91,19.03,20.11,19.66,19.35,19.37,20.61,20.43,20.19,15.15,15.26,15.9,16.05,16.91,17.53,19.98,20.03,19.28,19.33,6.71,6.72,7.56,7.6,7.22,8.5,8.95,9.25
MNE,Montenegro,MtCO2e,5.73,4.59,4.73,4.36,4.29,4.5,4.98,5.24,5.42,4.3,4.87,-2.41,-2.2,-1.95,-1.79,-2.03,-1.8,-2.1,-1.06,-3.09,-1.53,6.6,6.16,5.95,5.81,6.05,5.62,5.88,6.31
LSO,Lesotho,MtCO2e,4.39,4.49,4.75,4.8,4.84,4.83,4.86,5.02,4.93,5.44,5.39,5.41,5.29,5.39,5.41,5.64,5.62,5.75,5.77,5.98,6.08,7.58,7.65,6.13,6.4,5.98,5.92,6.63,6.23
GNB,Guinea-Bissau,MtCO2e,4.9,4.91,4.95,4.99,5.01,5.04,4.63,4.69,4.89,5.26,4.91,5.13,5.3,5.44,5.49,5.44,5.77,5.78,5.49,5.56,5.71,5.61,6.1,5.81,5.95,6.24,5.95,5.87,5.98
ISL,Iceland,MtCO2e,6.72,6.56,6.39,6.39,6.58,6.42,6.94,6.8,6.95,6.88,7.03,6.76,6.9,6.85,7,6.89,7.42,7.52,7.21,6.8,6.53,6.16,6.12,6.46,6.53,6.59,5.7,5.79,5.84
BHS,Bahamas,MtCO2e,4.24,4.39,4.12,3.87,3.92,4.08,4.08,3.68,4.47,4.56,4.56,4.3,4.37,4.46,4.48,4.19,4.08,4.13,4.3,4.33,4.25,4.73,5.09,5.99,5.35,4.74,4.44,4.76,5.93
BRB,Barbados,MtCO2e,4.13,4.16,4.05,3.99,4.13,4.18,4.26,4.45,4.6,4.75,4.72,4.77,4.74,4.83,4.91,4.99,5.04,5.09,5.61,5.58,5.35,5.44,5.36,5.32,5.02,5.01,5.07,4.87,5.06
GMB,Gambia,MtCO2e,5.74,5.9,6.02,6.14,5.68,5.21,4.9,4.59,4.33,4.28,3.9,3.44,3.2,3.1,3.03,2.91,3.03,3.13,3.29,3.7,3.7,3.4,3.48,3.53,3.74,4.05,3.95,4,3.87
SWZ,Eswatini,MtCO2e,3.71,3.72,3.4,3.03,4.35,4.29,3.8,3.8,3.9,3.99,3.62,3.5,3.48,3.41,3.39,3.41,3.35,3.63,3.53,3.51,3.21,3.14,3.14,3.47,3.51,3.56,3.77,3.75,3.78
MLT,Malta,MtCO2e,4.84,4.64,4.58,5.86,5.27,5.01,4.9,5.2,5.01,5.09,4.54,5.28,4.94,5.53,5.52,5.61,5.71,5.86,5.82,5.41,5.59,5.56,5.88,5.2,5.19,3.82,3.22,3.54,3.59
MDV,Maldives,MtCO2e,0.36,0.37,0.5,0.46,0.47,0.58,0.63,0.75,0.7,0.94,1.02,1.06,1.33,1.16,1.49,1.36,1.7,1.75,1.88,1.99,2.09,2.21,2.5,2.5,2.97,2.97,3.27,3.48,3.99
GRD,Grenada,MtCO2e,1.96,1.98,2,2.02,2.05,2.09,2.15,2.18,2.23,2.26,2.26,2.29,2.3,2.34,2.34,2.37,2.4,2.44,2.47,2.48,2.52,2.5,2.55,2.63,2.52,2.57,2.59,2.62,2.69
DJI,Djibouti,MtCO2e,1.19,1.22,1.26,1.28,1.28,1.37,1.37,1.45,1.59,1.63,1.6,1.61,1.66,1.69,1.66,1.74,1.74,1.82,1.83,1.82,1.93,1.85,1.9,2.04,1.73,1.83,1.74,1.75,1.78
ATG,Antigua and Barbuda,MtCO2e,0.58,0.59,0.59,0.61,0.63,0.65,0.71,0.75,0.81,0.85,0.9,0.94,0.98,1.05,1.09,1.13,1.21,1.29,1.34,1.43,1.47,1.46,1.5,1.52,1.54,1.58,1.62,1.65,1.69
SYC,Seychelles,MtCO2e,0.37,0.42,0.42,0.45,0.49,0.48,0.55,0.64,0.67,0.7,0.68,0.74,0.8,0.78,0.86,0.86,0.88,0.91,0.94,1.01,1,0.93,0.97,0.95,1.05,1.14,1.28,1.29,1.36
CPV,Cape Verde,MtCO2e,-0.52,-0.54,-0.49,-0.51,-0.52,-0.44,-0.44,-0.41,-0.36,-0.27,-0.25,0.74,0.81,0.86,0.86,0.93,1.06,0.94,0.97,1.05,1.11,1.17,1.09,1.05,1.04,1.05,1.14,1.2,1.22
COM,Comoros,MtCO2e,0.45,0.45,0.46,0.47,0.47,0.48,0.49,0.5,0.53,0.54,0.53,0.55,0.56,0.61,0.64,0.67,0.7,0.56,0.59,0.64,0.71,0.69,0.71,0.78,0.75,0.78,0.84,0.97,1.02
LCA,Saint Lucia,MtCO2e,0.82,0.86,0.92,0.98,1.04,0.98,0.94,0.86,0.84,0.79,0.71,0.78,0.76,0.81,0.86,0.85,0.89,0.91,0.93,0.93,1.07,1.01,1.03,1.03,1.04,1.03,1.05,1.1,1.1
AND,Andorra,MtCO2e,0.84,0.84,0.84,0.85,0.84,0.88,0.95,0.98,1.03,1.08,1.11,1.12,1.14,1.15,1.2,1.24,1.18,1.17,1.18,1.14,1.14,1.09,1.09,1.07,1.04,1.04,1.05,1.05,1.11
WSM,Samoa,MtCO2e,0.64,0.65,0.66,0.69,0.7,0.73,0.76,0.75,0.79,0.79,0.8,0.84,0.86,0.86,0.87,0.88,0.88,0.89,0.85,0.88,0.92,0.95,0.96,0.96,0.98,1.05,1.05,1.06,1.06
STP,Sao Tome and Principe,MtCO2e,0.12,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.16,0.17,0.19,0.2,0.2,0.2,0.22,0.23,0.25,0.66,0.7,0.7,0.7,0.71,0.72,0.73,0.74
VUT,Vanuatu,MtCO2e,0.55,0.56,0.58,0.61,0.61,0.62,0.66,0.67,0.66,0.68,0.66,0.65,0.63,0.66,0.61,0.63,0.64,0.8,0.8,0.82,0.84,0.87,0.85,0.84,0.94,0.85,0.79,0.8,0.86
KNA,Saint Kitts and Nevis,MtCO2e,0.3,0.31,0.31,0.32,0.34,0.35,0.36,0.38,0.4,0.42,0.45,0.47,0.49,0.49,0.53,0.5,0.51,0.54,0.54,0.56,0.56,0.57,0.55,0.55,0.55,0.57,0.59,0.59,0.59
VCT,Saint Vincent and the Grenadines,MtCO2e,0.14,0.16,0.16,0.2,0.23,0.25,0.26,0.27,0.33,0.33,0.3,0.45,0.47,0.49,0.54,0.54,0.54,0.57,0.54,0.66,0.55,0.53,0.56,0.53,0.62,0.57,0.59,0.53,0.59
TON,Tonga,MtCO2e,0.34,0.35,0.33,0.35,0.36,0.36,0.32,0.34,0.33,0.36,0.34,0.32,0.34,0.38,0.37,0.37,0.41,0.38,0.39,0.41,0.37,0.35,0.36,0.37,0.37,0.36,0.39,0.41,0.42
DMA,Dominica,MtCO2e,0.36,0.36,0.36,0.37,0.38,0.39,0.35,0.39,0.38,0.39,0.43,0.32,0.25,0.28,0.33,0.34,0.35,0.37,0.37,0.37,0.39,0.36,0.39,0.4,0.41,0.42,0.4,0.37,0.37
PLW,Palau,MtCO2e,0.01,0.01,0.41,0.41,0.41,0.41,0.41,0.42,0.42,0.42,0.44,0.45,0.45,0.45,0.45,0.47,0.48,0.47,0.45,0.43,0.45,0.45,0.47,0.47,0.46,0.43,0.44,0.46,0.46
LIE,Liechtenstein,MtCO2e,0.45,0.46,0.46,0.48,0.45,0.46,0.46,0.49,0.51,0.5,0.49,0.5,0.51,0.53,0.53,0.53,0.53,0.47,0.51,0.48,0.45,0.37,0.38,0.4,0.34,0.33,0.31,0.33,0.3
MHL,Marshall Islands,MtCO2e,0.03,0.03,0.19,0.2,0.21,0.21,0.22,0.22,0.22,0.22,0.24,0.24,0.26,0.26,0.27,0.27,0.28,0.3,0.3,0.31,0.32,0.32,0.32,0.32,0.33,0.33,0.34,0.35,0.35
FSM,Micronesia,MtCO2e,0.01,-0.05,0.23,0.25,0.27,0.37,0.39,0.41,0.43,0.4,0.38,0.35,0.32,0.34,0.31,0.25,0.25,0.28,0.24,0.31,0.22,0.25,0.28,0.29,0.3,0.31,0.3,0.3,0.31
KIR,Kiribati,MtCO2e,0.06,0.07,0.07,0.07,0.07,0.08,0.09,0.08,0.08,0.08,0.09,0.09,0.11,0.11,0.12,0.15,0.16,0.14,0.15,0.14,0.13,0.13,0.14,0.15,0.15,0.15,0.14,0.17,0.18
COK,Cook Islands,MtCO2e,0.05,0.05,0.06,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.08,0.12,0.1,0.11,0.12,0.13,0.14,0.14,0.15,0.14,0.15,0.17,0.17,0.17,0.18,0.16,0.16,0.17,0.17
NRU,Nauru,MtCO2e,0.26,0.26,0.25,0.23,0.23,0.22,0.21,0.21,0.2,0.19,0.18,0.17,0.16,0.14,0.13,0.13,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.11,0.11,0.11,0.12,0.11
BTN,Bhutan,MtCO2e,-12.15,-12.15,-12.14,-12.2,-12.14,-12,-11.92,-11.76,-11.75,-11.7,-11.75,-11.83,-11.77,-11.84,-11.95,-11.71,-11.72,-11.64,-11.74,-11.75,-11.51,-0.45,-0.22,-0.14,0.06,0.11,0.47,0.63,0.9
TUV,Tuvalu,MtCO2e,0.02,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
NIU,Niue,MtCO2e,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
FJI,Fiji,MtCO2e,-2.69,-2.66,-2.58,-2.53,-2.49,-2.42,-2.31,-2.35,-2.4,-2.42,-2.34,-1.9,-2.24,-1.95,-1.36,-1.87,-1.62,-1.75,-2.25,-2.45,-1.75,-1.9,-2.02,-1.87,-2.13,-2,-2.14,-1.82,-1.68
